# SRC: TARGET_NAME 
# RA: 17 h 45 m 40.0410 s
# DEC: -29 deg  0 m 28.1180 s
# MJD: 0.1111 - 0.7950 
# RF: 227.2970 GHz 
# BW: 4.0960 GHz 
# PHASECAL: 1 
# AMPCAL: 1 
# ----------------------------------------------------------------
# Site       X(m)             Y(m)             Z(m)           SEFD
# ALMA50     2225037.18510   -5441199.16200   -2479303.46290  110.0000 
# SMTO      -1828796.20000   -5054406.80000    3427865.20000  11900.0000 
# LMT        -768713.96370   -5988541.79820    2063275.94720  560.0000 
# Hawaii8   -5464523.40000   -2493147.08000    2150611.75000  4900.0000 
# PV         5088967.90000    -301681.60000    3825015.80000  2900.0000 
# PdBI       4523998.40000     468045.24000    4460309.76000  1600.0000 
# SPT              0.00000          0.00000   -6359587.30000  7300.0000 
# GLT        1500692.00000   -1191735.00000    6066409.00000  4744.0000 
# ----------------------------------------------------------------
# time (hr) tint    T1     T2    Elev1   Elev2  Tau1   Tau2   U (lambda)       V (lambda)         Iamp (Jy)    Iphase(d)  Qamp (Jy)    Qphase(d)   Uamp (Jy)    Uphase(d)   sigma (Jy)
12.02500000 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2857862370.0000  4279921780.0000    0.01730900    75.1099   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.02500000 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3049877950.0000  4260174920.0000    0.00752600    90.2699   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.02777778 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3426452770.0000  7178341500.0000    0.00221200   -93.4439   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.02777778 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -189020280.0000  8540164070.0000    0.08352600    66.0049   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.02777778 10.00    LMT    SPT  0.00   0.00  0.00   0.00    797444750.0000  7841473580.0000    0.01666700  -171.7589   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.02777778 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4223897520.0000  -663132080.0000    0.01558300   -10.2278   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.02777778 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3237432480.0000  1361822570.0000    0.01021600  -132.1916   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.02777778 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2860393680.0000  4278910750.0000    0.00435300    44.6183   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.02777778 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6286846450.0000  2899430750.0000    0.00299700   173.8459   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.02777778 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2062948930.0000  3562562830.0000    0.01056300   148.1307   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.02777778 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3049413970.0000  4261253320.0000    0.00335000   133.6023   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.02777778 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -986465030.0000   698690490.0000    0.01525300     0.8421   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.03055556 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3424219320.0000  7179552750.0000    0.01967400   101.9581   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.03055556 10.00    LMT    SPT  0.00   0.00  0.00   0.00    800762130.0000  7841191000.0000    0.01003600    70.0796   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.03055556 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4224981450.0000  -661638250.0000    0.02272600    -9.9840   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.03055556 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -186024870.0000  8540230380.0000    0.10545400    88.1007   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.03055556 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3238194450.0000  1360677620.0000    0.02303400    -6.5223   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.03055556 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -986787000.0000   699039380.0000    0.02715400     1.4002   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.03055556 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2862923480.0000  4277898820.0000    0.01652600    78.4571   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.03055556 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6287142800.0000  2901653940.0000    0.00420800   164.0090   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.03055556 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2062161360.0000  3563292190.0000    0.00921800   142.8133   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.03055556 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3048948350.0000  4262331560.0000    0.00481100    29.0341   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.03333333 10.00    LMT    SPT  0.00   0.00  0.00   0.00    804079060.0000  7840907250.0000    0.00653300   -13.6850   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.03333333 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4226063130.0000  -660144040.0000    0.02188800   -33.9966   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.03333333 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -183029370.0000  8540295630.0000    0.08757400   -22.9519   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.03333333 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3238954690.0000  1359532410.0000    0.03840900    59.6070   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.03333333 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3421984070.0000  7180763210.0000    0.02246700   -20.1675   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.03333333 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2865451750.0000  4276885990.0000    0.01541600    67.5701   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.03333333 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6287435820.0000  2903877220.0000    0.00163600  -153.6621   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.03333333 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2061372690.0000  3564021260.0000    0.00949000   145.5821   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.03333333 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3048481120.0000  4263409630.0000    0.00364800  -153.3077   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.03333333 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -987108430.0000   699388370.0000    0.03044800     7.7664   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.03611111 10.00    LMT    SPT  0.00   0.00  0.00   0.00    807395570.0000  7840622330.0000    0.01251700   141.0011   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.03611111 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4227142560.0000  -658649450.0000    0.01250700    30.3402   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.03611111 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -180033780.0000  8540359820.0000    0.05885400  -101.0837   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.03611111 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3239713220.0000  1358386940.0000    0.00241500   124.5246   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.03611111 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3419746990.0000  7181972880.0000    0.01164000    78.4171   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.03611111 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2867978490.0000  4275872280.0000    0.01738000    75.7538   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.03611111 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6287725480.0000  2906100600.0000    0.00396700  -163.6070   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.03611111 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2060582920.0000  3564750050.0000    0.00955000   143.6781   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.03611111 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3048012270.0000  4264487540.0000    0.00466600    54.4289   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.03611111 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -987429350.0000   699737490.0000    0.00717900   -11.7463   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.03888889 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3417508090.0000  7183181770.0000    0.05124600   -44.4348   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.03888889 10.00    LMT    SPT  0.00   0.00  0.00   0.00    810711660.0000  7840336240.0000    0.00796200  -104.9581   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.03888889 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4228219750.0000  -657154470.0000    0.01276900    22.9612   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.03888889 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -177038070.0000  8540422950.0000    0.05470800    59.6881   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.03888889 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3240470020.0000  1357241190.0000    0.00916400   -21.9300   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.03888889 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -987749730.0000   700086720.0000    0.00175200   -73.0461   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.03888889 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6288011810.0000  2908324100.0000    0.00307500  -139.5678   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.03888889 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2059792060.0000  3565478570.0000    0.00885000   144.4868   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.03888889 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3047541790.0000  4265565290.0000    0.00162200   -21.2392   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.03888889 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2870503720.0000  4274857670.0000    0.01133700    77.9607   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.04166667 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -174042290.0000  8540485030.0000    0.02577400   138.7958   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.04166667 10.00    LMT    SPT  0.00   0.00  0.00   0.00    814027310.0000  7840048970.0000    0.00315800   100.7335   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.04166667 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4229294690.0000  -655659120.0000    0.01570200    32.0811   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.04166667 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3241225090.0000  1356095170.0000    0.02802800   -88.0989   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.04166667 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3415267380.0000  7184389850.0000    0.03147400   -52.9489   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.04166667 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2873027410.0000  4273842170.0000    0.01264900    76.6472   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.04166667 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3047069700.0000  4266642860.0000    0.01224400   112.1081   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.04166667 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -988069590.0000   700436060.0000    0.01194600    26.2552   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.04166667 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6288294790.0000  2910547690.0000    0.00189100  -141.8385   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.04166667 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2059000100.0000  3566206800.0000    0.00955400   140.3087   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.04444444 10.00    LMT    SPT  0.00   0.00  0.00   0.00    817342520.0000  7839760530.0000    0.00904200    39.3045   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.04444444 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4230367370.0000  -654163380.0000    0.01146100   -29.0509   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.04444444 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -171046410.0000  8540546040.0000    0.03251400   -38.3091   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.04444444 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3241978440.0000  1354948890.0000    0.02538700   -72.9133   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.04444444 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3413024860.0000  7185597150.0000    0.02707800    37.4535   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.04444444 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2875549570.0000  4272825780.0000    0.01071600    77.1194   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.04444444 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6288574430.0000  2912771370.0000    0.00253200   164.6698   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.04444444 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2058207050.0000  3566934760.0000    0.00889100   150.8569   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.04444444 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3046595980.0000  4267720270.0000    0.00960600    90.3228   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.04444444 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -988388930.0000   700785510.0000    0.01332300    17.1445   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.04722222 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3410780510.0000  7186803650.0000    0.03596200    33.0624   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.04722222 10.00    LMT    SPT  0.00   0.00  0.00   0.00    820657310.0000  7839470920.0000    0.00773000   -54.7200   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.04722222 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4231437820.0000  -652667270.0000    0.01936000    -6.3892   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.04722222 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -168050430.0000  8540606000.0000    0.01679300    93.9633   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.04722222 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3242730070.0000  1353802340.0000    0.00165800   158.1990   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.04722222 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -988707740.0000   701135080.0000    0.02244400     8.3165   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.04722222 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6288850720.0000  2914995170.0000    0.00354800  -103.1318   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.04722222 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3046120650.0000  4268797510.0000    0.00522600    63.6097   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.04722222 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2878070210.0000  4271808490.0000    0.01462100    92.9083   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.04722222 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2057412900.0000  3567662430.0000    0.00940400   147.7673   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.05000000 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3408534350.0000  7188009360.0000    0.01914600   -84.9533   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.05000000 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3243479980.0000  1352655530.0000    0.01481900    15.5835   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.05000000 10.00    LMT    SPT  0.00   0.00  0.00   0.00    823971650.0000  7839180140.0000    0.00612500   174.5214   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.05000000 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4232506000.0000  -651170780.0000    0.00873300    -9.0891   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.05000000 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -165054370.0000  8540664890.0000    0.02870100    98.6391   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.05000000 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -989026030.0000   701484750.0000    0.01383900    31.1878   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.05000000 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6289123670.0000  2917219050.0000    0.00634200   -22.4827   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.05000000 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2056617660.0000  3568389820.0000    0.00873300   143.6425   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.05000000 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3045643690.0000  4269874580.0000    0.00330700    60.8471   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.05000000 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2880589320.0000  4270790310.0000    0.01185200    70.2623   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.05277778 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3406286380.0000  7189214270.0000    0.02044500   -52.9301   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.05277778 10.00    LMT    SPT  0.00   0.00  0.00   0.00    827285560.0000  7838888180.0000    0.00591000   110.6999   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.05277778 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4233571940.0000  -649673910.0000    0.01364400    18.8967   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.05277778 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -162058230.0000  8540722730.0000    0.07464300    49.5564   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.05277778 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3244228160.0000  1351508460.0000    0.01850600    31.7358   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.05277778 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2883106890.0000  4269771250.0000    0.01338200    69.5220   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.05277778 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6289393270.0000  2919443030.0000    0.00429200   -67.9807   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.05277778 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2055821330.0000  3569116930.0000    0.00955200   156.3562   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.05277778 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3045165120.0000  4270951480.0000    0.01044700  -175.1328   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.05277778 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -989343790.0000   701834550.0000    0.02237500    -1.1166   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.05555556 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -159061980.0000  8540779510.0000    0.00851800   148.1136   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.05555556 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3404036600.0000  7190418400.0000    0.01007500  -151.9533   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.05555556 10.00    LMT    SPT  0.00   0.00  0.00   0.00    830599040.0000  7838595060.0000    0.00916600   162.1313   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.05555556 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4234635630.0000  -648176660.0000    0.01371500     0.1036   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.05555556 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3244974610.0000  1350361110.0000    0.01443000   -26.3522   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.05555556 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3044684920.0000  4272028220.0000    0.00336600    82.2012   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.05555556 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2885622940.0000  4268751290.0000    0.01414600    76.6569   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.05555556 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6289659530.0000  2921667110.0000    0.00275300   150.6000   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.05555556 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2055023900.0000  3569843770.0000    0.00772400   137.9425   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.05555556 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -989661020.0000   702184450.0000    0.01823000     8.5378   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.05833333 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -156065670.0000  8540835220.0000    0.09555500   -49.1817   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.05833333 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3401785010.0000  7191621720.0000    0.03286800   179.7468   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.05833333 10.00    LMT    SPT  0.00   0.00  0.00   0.00    833912060.0000  7838300760.0000    0.01516000  -107.9178   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.05833333 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4235697070.0000  -646679040.0000    0.00757900    -3.0225   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.05833333 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3245719340.0000  1349213510.0000    0.01067700   -79.5614   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.05833333 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2054225380.0000  3570570310.0000    0.00791600   128.4717   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.05833333 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2888137440.0000  4267730440.0000    0.01144700    80.2690   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.05833333 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3044203110.0000  4273104780.0000    0.00546300   119.6405   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.05833333 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -989977730.0000   702534470.0000    0.01572000    -5.0405   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.05833333 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6289922450.0000  2923891270.0000    0.00385600   -83.3534   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.06111111 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3043719680.0000  4274181170.0000    0.00487200   139.7409   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.06111111 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2053425770.0000  3571296580.0000    0.00854100   139.0472   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.06111111 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6290182020.0000  2926115530.0000    0.00591500   -40.4484   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.06111111 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2890650410.0000  4266708710.0000    0.01679900    80.2413   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.06111111 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -990293910.0000   702884590.0000    0.01207300   -17.0724   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.06111111 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3246462340.0000  1348065640.0000    0.02381300     3.0012   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.06111111 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -153069270.0000  8540889880.0000    0.05438600    -5.1244   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.06111111 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4236756250.0000  -645181050.0000    0.01734600    -8.6117   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.06111111 10.00    LMT    SPT  0.00   0.00  0.00   0.00    837224640.0000  7838005290.0000    0.01120800   167.9369   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.06111111 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3399531610.0000  7192824240.0000    0.02590500   177.6675   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.06388889 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3397276400.0000  7194025970.0000    0.01371600   -33.6978   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.06388889 10.00    LMT    SPT  0.00   0.00  0.00   0.00    840536790.0000  7837708650.0000    0.00206000   -89.1875   0.00000000     0.0000    0.00000000     0.0000    0.00706000
12.06388889 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4237813180.0000  -643682670.0000    0.02577700   -38.7864   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.06388889 10.00   SMTO    SPT  0.00   0.00  0.00   0.00   -150072780.0000  8540943480.0000    0.01090200     3.6879   0.00000000     0.0000    0.00000000     0.0000    0.03256000
12.06388889 10.00   SMTO Hawaii8  0.00   0.00  0.00   0.00   3247203620.0000  1346917500.0000    0.03605800   156.1785   0.00000000     0.0000    0.00000000     0.0000    0.02668000
12.06388889 10.00    LMT ALMA50  0.00   0.00  0.00   0.00  -2052625060.0000  3572022560.0000    0.00941100   137.1287   0.00000000    -0.0000    0.00000000    -0.0000    0.00087000
12.06388889 10.00 ALMA50    SPT  0.00   0.00  0.00   0.00   2893161850.0000  4265686080.0000    0.00998700    62.3732   0.00000000     0.0000    0.00000000     0.0000    0.00313000
12.06388889 10.00 Hawaii8 ALMA50  0.00   0.00  0.00   0.00  -6290438250.0000  2928339890.0000    0.00717800  -162.6421   0.00000000    -0.0000    0.00000000    -0.0000    0.00257000
12.06388889 10.00   SMTO ALMA50  0.00   0.00  0.00   0.00  -3043234630.0000  4275257390.0000    0.00844500    45.5710   0.00000000    -0.0000    0.00000000    -0.0000    0.00400000
12.06388889 10.00   SMTO    LMT  0.00   0.00  0.00   0.00   -990609560.0000   703234830.0000    0.02239700    55.7649   0.00000000     0.0000    0.00000000     0.0000    0.00902000
12.06666667 10.00 Hawaii8    LMT  0.00   0.00  0.00   0.00  -4238867860.0000  -642183930.0000    0.01833800    12.0935   0.00000000    -0.0000    0.00000000    -0.0000    0.00579000
12.06666667 10.00 Hawaii8    SPT  0.00   0.00  0.00   0.00  -3395019380.0000  7195226900.0000    0.02720500  -129.9141   0.00000000     0.0000    0.00000000     0.0000    0.02090000
12.06666667 10.00    LMT    SPT  0.00   0.00  0.00   0.00    843848470.0000  7837410830.0000    0.01567400   -92.7496   0.00000000     0.0000    0.00000000     0.0000    0.00706000
